REEF_ID,YEAR,SUBREGION,REGION_PS,MACROALGAE,HARD_CORAL,PSI,LON,LAT
1898,2004,Philippines_Spra,Indo-Pacific,20,15,0.63036,124.10406,11.34953
1900,2005,Philippines_Spra,Indo-Pacific,2.5,35,-0.9471,124.10406,11.34953
1901,2004,Philippines_Spra,Indo-Pacific,36.3,15,1.37793,124.10639,11.34583
1902,2004,Philippines_Spra,Indo-Pacific,10,6.3,0.50824,124.10697,11.32008
1904,2004,Philippines_Spra,Indo-Pacific,40,8.1,1.81595,124.11167,11.32206
1905,2004,Philippines_Spra,Indo-Pacific,21.9,3.8,1.15109,124.1145,11.32114
1907,2003,Philippines_Spra,Indo-Pacific,20.6,8.8,0.90048,124.98003,10.21772
1909,2003,Philippines_Spra,Indo-Pacific,17.8,35.3,-0.25473,124.99353,10.17419
1910,2004,SW Pacific,Indo-Pacific,19.4,25,0.21541,177.175,-17.84694
1912,2004,SW Pacific,Indo-Pacific,28.8,3.1,1.4915,177.13528,-17.7375
1913,2004,SW Pacific,Indo-Pacific,20.6,15,0.65911,177.15056,-17.73333
1914,2004,SW Pacific,Indo-Pacific,18.1,15,0.5441,177.12139,-17.72167
1915,2004,SW Pacific,Indo-Pacific,12.5,18.8,0.14051,177.18111,-17.73333
1916,2004,SW Pacific,Indo-Pacific,30.6,16.9,1.04674,177.1375,-17.73861
1917,2004,SW Pacific,Indo-Pacific,11.9,0.6,0.81173,177.14056,-17.73556
1919,2004,SW Pacific,Indo-Pacific,7.5,38.8,-0.8619,177.14111,-17.75972
1920,2004,SW Pacific,Indo-Pacific,20,14.4,0.6545,177.12639,-17.73222
1922,2005,SW Pacific,Indo-Pacific,13.1,62.5,-1.52034,158.95833,-19.29
1923,2005,SW Pacific,Indo-Pacific,20.6,21.9,0.3936,158.975,-19.26833
1924,2003,Philippines_Spra,Indo-Pacific,11.3,32.5,-0.44802,124.00739,10.28586
1925,2002,Philippines_Spra,Indo-Pacific,1.9,30.6,-0.80689,123.99933,10.28108
1926,2002,Philippines_Spra,Indo-Pacific,10,47.5,-1.08481,124.00697,10.28481
1927,2003,W Indonesia,Indo-Pacific,0.6,46.3,-1.46783,114.499,-8.09178
1928,2005,Philippines_Spra,Indo-Pacific,1.9,16.9,-0.27588,120.98111,13.52472
1929,2004,W Indonesia,Indo-Pacific,1.3,71.9,-2.42869,113.815,4.27444
